date,timestamp,id,seq,rtt,iat,length,seq_difference,session_start,has_reply
2026-03-23,10:35:51.549092,955,10,1.8e-05,0.200181,64,1,0,1
2026-03-23,10:35:51.801072,956,0,1.9e-05,0.25198,64,1,1,1
2026-03-23,10:35:52.001265,956,1,3.6e-05,0.200193,64,1,0,1
2026-03-23,10:35:52.201460,956,2,1.6e-05,0.200195,64,1,0,1
2026-03-23,10:35:52.401606,956,3,1.6e-05,0.200146,64,1,0,1
2026-03-23,10:35:52.601760,956,4,1.6e-05,0.200154,64,1,0,1
2026-03-23,10:35:52.801943,956,5,1.7e-05,0.200183,64,1,0,1
2026-03-23,10:35:53.002114,956,6,1.6e-05,0.200171,64,1,0,1
2026-03-23,10:35:53.202303,956,7,1.7e-05,0.200189,64,1,0,1
2026-03-23,10:35:53.402454,956,8,1.6e-05,0.200151,64,1,0,1
2026-03-23,10:35:53.602605,956,9,1.7e-05,0.200151,64,1,0,1
2026-03-23,10:35:53.802783,956,10,1.7e-05,0.200178,64,1,0,1
2026-03-23,10:35:54.054778,957,0,2.3e-05,0.251995,64,1,1,1
2026-03-23,10:35:54.254983,957,1,1.6e-05,0.200205,64,1,0,1
2026-03-23,10:35:54.455170,957,2,1.7e-05,0.200187,64,1,0,1
2026-03-23,10:35:54.655381,957,3,1.7e-05,0.200211,64,1,0,1
2026-03-23,10:35:54.855563,957,4,6.6e-05,0.200182,64,1,0,1
2026-03-23,10:35:55.055773,957,5,1.7e-05,0.20021,64,1,0,1
2026-03-23,10:35:55.255944,957,6,1.6e-05,0.200171,64,1,0,1
2026-03-23,10:35:55.456119,957,7,1.6e-05,0.200175,64,1,0,1
2026-03-23,10:35:55.656346,957,8,1.8e-05,0.200227,64,1,0,1
2026-03-23,10:35:55.856506,957,9,1.7e-05,0.20016,64,1,0,1
2026-03-23,10:35:56.056657,957,10,1.7e-05,0.200151,64,1,0,1
2026-03-23,10:35:56.256814,957,11,1.6e-05,0.200157,64,1,0,1
2026-03-23,10:35:56.508834,958,0,2.1e-05,0.25202,64,1,1,1
2026-03-23,10:35:56.708991,958,1,1.7e-05,0.200157,64,1,0,1
2026-03-23,10:35:56.909166,958,2,1.7e-05,0.200175,64,1,0,1
